Facility,per_capita,total_cases,days_infected,per_day,ded_non,field_office,state,contract,operator,weighted_alos,weighted_adp,weighted_min,governor,senate,house,mask_mandate,county,county_pop,county_cases,county_cases_per100K,county_deaths,county_deaths_per100K
pike county correctional facility,0.40302053283556766,38,191,0.19895287958115182,Non-Dedicated,Philadelphia,Pennsylvania,IGSA,GOV,66.672,94.288,0,Democratic,Republican,Republican,214,Pike,55809,2133,3822,44,79
south texas family residential center (dilley),0.06813536225300931,36,121,0.2975206611570248,Dedicated,San Antonio,Texas,FAMILY,CORECIVIC,48.36,528.36,2400,Republican,Republican,Republican,212,Frio,20306,2392,11780,29,143
henderson detention center,0.1964443571358413,32,121,0.2644628099173554,Non-Dedicated,Salt Lake City,Nevada,USMS IGSA,GOV,52.544,162.896,0,Democratic,Democratic,Democratic,220,Clark,2266715,214108,9446,3276,145
iah polk adult detention facility,0.13825460254031682,31,185,0.16756756756756758,Non-Dedicated,Houston,Texas,IGSA,MTC,69.416,224.224,350,Republican,Republican,Republican,212,Polk,51353,2686,5230,78,152
northwest ice processing center (nwipc),0.05136940901980539,31,164,0.18902439024390244,Dedicated,Seattle,Washington,CDF,GEO,106.54399999999998,603.472,1181,Democratic,Democratic,Democratic,219,Pierce,904980,33995,3756,467,52
etowah county jail,0.20488444517292245,30,172,0.1744186046511628,Non-Dedicated,New Orleans,Alabama,USMS IGA,GOV,34.8,146.424,0,Republican,Republican,Republican,199,Etowah,102268,12515,12237,246,241
south louisiana correctional center,0.09845727633222881,29,135,0.21481481481481482,Dedicated,New Orleans,Louisiana,DIGSA,GEO,71.096,294.544,700,Democratic,Republican,Republican,202,Evangeline,33395,3077,9214,72,216
lasalle ice processing center olla,0.07619628162145686,25,189,0.13227513227513227,Non-Dedicated,New Orleans,Louisiana,IGSA,GOV,19.8,328.1,352,Democratic,Republican,Republican,202,LaSalle,14892,1354,9092,33,222
essex county jail,0.05974191492751314,24,195,0.12307692307692308,Non-Dedicated,Newark,New Jersey,IGSA,GOV,133.632,401.728,0,Democratic,Democratic,Democratic,207,Essex,798975,65161,8156,2539,318
imperial regional detention facility,0.05538218523655417,23,156,0.14743589743589744,Dedicated,San Diego,California,CDF,MTC,87.78399999999999,415.296,640,Democratic,Democratic,Democratic,227,Imperial,181215,26160,14436,532,294
san luis regional detention center,0.4315756434400502,22,153,0.1437908496732026,Non-Dedicated,San Diego,Arizona,IGSA,LASALLE,10.783999999999999,50.976,100,Republican,Republican,Republican,0,Yuma,213787,35127,16431,697,326
kankakee county detention center,0.2997601918465228,22,12,1.8333333333333333,Non-Dedicated,Chicago,Illinois,USMS IGA,GOV,32.288,73.392,0,Democratic,Democratic,Democratic,275,Kankakee,109862,11878,10812,181,165
bergen county jail,0.11241488587212538,21,195,0.1076923076923077,Non-Dedicated,New York City,New Jersey,IGSA,GOV,67.16,186.80800000000002,0,Democratic,Democratic,Democratic,207,Bergen,932202,67253,7214,2474,265
strafford county corrections,0.24131274131274133,20,160,0.125,Non-Dedicated,Boston,New Hampshire,IGSA,GOV,42.088,82.88,0,Republican,Republican,Democratic,72,Strafford,130633,5641,4318,61,47
clay county justice center,0.31280411511191436,18,52,0.34615384615384615,Non-Dedicated,Chicago,Indiana,USMS IGA,GOV,12.495999999999999,57.544,0,Republican,Republican,Republican,188,Clay,26225,2285,8713,32,122
wyatt detention center,0.32497323749808843,17,176,0.09659090909090909,Non-Dedicated,Boston,Rhode Island,USMS IGA,GOV,75.824,52.312,0,Democratic,Democratic,Democratic,268,Providence,638931,74238,11619,1582,248
saint clair county jail,0.39783577339274345,15,188,0.0797872340425532,Non-Dedicated,Detroit,Michigan,IGSA,GOV,45.248000000000005,37.704,0,Democratic,Republican,Republican,202,St. Clair,159128,8225,5169,231,145
baker county detention center,0.06769197443951046,15,124,0.12096774193548387,Non-Dedicated,Miami,Florida,IGSA,GOV,48.344,221.59199999999998,0,Republican,Republican,Republican,0,Baker,29210,3034,10387,48,164
polk county jail,0.5079924139799512,15,165,0.09090909090909091,Non-Dedicated,St. Paul,Iowa,USMS IGA,GOV,32.76,29.528000000000002,0,Republican,Republican,Republican,75,Polk,490161,47978,9788,500,102
cache county jail,1.5060240963855422,15,96,0.15625,Non-Dedicated,St. Louis,Utah,USMS IGA,GOV,4,9.959999999999999,0,Republican,Republican,Republican,83,Cache,128289,0,0,0,0
hudson county jail,0.09097998440343125,14,193,0.07253886010362694,Non-Dedicated,New York City,New Jersey,IGSA,GOV,85.848,153.88,0,Democratic,Democratic,Democratic,207,Hudson,672391,61391,9130,1867,278
nevada southern detention center,0.10006773816121682,13,163,0.07975460122699386,Non-Dedicated,Salt Lake City,Nevada,USMS IGA,CORECIVIC,65.88,129.912,0,Democratic,Democratic,Democratic,220,Nye,46523,2581,5548,67,144
cambria county prison,0.5638445523941706,13,75,0.17333333333333334,Non-Dedicated,Philadelphia,Pennsylvania,USMS IGA,GOV,49.784,23.056000000000004,0,Democratic,Republican,Republican,214,Cambria,130192,10789,8287,364,280
seneca county jail,0.3151056815978282,13,8,1.625,Non-Dedicated,Detroit,Ohio,IGSA,GOV,46.936,41.256,0,Republican,Republican,Republican,192,Seneca,55178,4424,8018,106,192
allen parish detention center,0.46904315196998125,12,121,0.09917355371900827,Non-Dedicated,New Orleans,Louisiana,IGSA,GOV,8.712,25.584,100,Democratic,Republican,Republican,202,Allen,25627,2823,11016,79,308
lasalle county regional detention center,0.562142273098937,11,82,0.13414634146341464,Non-Dedicated,San Antonio,Texas,USMS IGA,GOV,4.7,19.567999999999998,0,Republican,Republican,Republican,212,La Salle,7520,810,10771,19,253
geauga county jail,0.2391429118040941,10,96,0.10416666666666667,Non-Dedicated,Detroit,Ohio,USMS IGA,GOV,52.6,41.816,0,Republican,Republican,Republican,192,Geauga,93649,5428,5796,133,142
franklin county house of corrections,0.4246885617214043,9,156,0.057692307692307696,Non-Dedicated,Boston,Massachusetts,USMS IGA,GOV,57.08,21.192,0,Republican,Democratic,Democratic,270,Franklin,70180,1780,2536,97,138
laredo processing center,0.05442176870748299,8,91,0.08791208791208792,Dedicated,San Antonio,Texas,DIGSA,CORECIVIC,36.3,147,0,Republican,Republican,Republican,212,Nueces,362294,35107,9690,655,181
mchenry county adult correctional facility,0.15230635335073978,7,119,0.058823529411764705,Non-Dedicated,Chicago,Illinois,USMS IGA,GOV,12.84,45.96,0,Democratic,Democratic,Democratic,275,McHenry,307774,22765,7397,246,80
hardin county jail,0.15294528928509002,7,46,0.15217391304347827,Non-Dedicated,St. Paul,Iowa,IGSA,GOV,41.144,45.768,0,Republican,Republican,Republican,75,Hardin,16846,1606,9533,33,196
yuba county jail,0.08009153318077804,7,22,0.3181818181818182,Non-Dedicated,San Francisco,California,IGSA,GOV,131.144,87.39999999999999,150,Democratic,Democratic,Democratic,227,Yuba,78668,5324,6768,31,39
